,title,subtitle,link
0,RIK ROLLED,Man Utd 'can't catch a break' as defender suffers injury in Liverpool defeat,https://www.thesun.co.uk/sport/29671400/man-utd-will-fish-victor-lindelof-injuries-liverpool/
1,SAN THE MAN,Ten Hag plans to replace injured Man Utd star with Sancho and not Zirkzee,https://www.thesun.co.uk/sport/29671326/ten-hag-man-utd-jadon-sancho-rasmus-hojlund/
2,MAN UTD RATINGS,Rashford the star on show but Casemiro alarmingly off the pace,https://www.thesun.co.uk/sport/29671083/man-utd-player-ratings-marcus-rashford-liverpool/
3,TOTAL MAR,Maresca suffers miserable reunion with ex-mentor Pep as Haaland bags hat-trick,https://www.thesun.co.uk/sport/29670872/enzo-maresca-pep-guardiola-erling-haaland-chelsea/
4,MAN UTD 0 LIVERPOOL 3,Reds cruise to victory against bitter rivals in pre-season friendly,https://www.thesun.co.uk/sport/29640172/man-utd-vs-liverpool-live-score-result-updates/
5,CHELSEA RATINGS,Lavia impresses in Ohio but Adarabioyo struggles in another loss,https://www.thesun.co.uk/sport/29670570/chelsea-player-ratings-romeo-lavia-tosin-adarabioyo-man-city/
6,STORM BREWING,Man Utd vs Liverpool in doubt just hours before kick off after storm threat,https://www.thesun.co.uk/sport/29669649/man-utd-liverpool-friendly-america-storm-weather/
7,GIDDY UP,"Glorious Goodwood free bets, offers and sign up deals from our betting partners",https://www.thesun.co.uk/sport/29409133/glorious-goodwood-free-bets-offers-sign-up-deals/
8,ART WORK,Wenger too loyal to Arsenal faves; Arteta dumping Smith Rowe shows he's like Pep,https://www.thesun.co.uk/sport/29668444/wenger-arsenal-arteta-guardiola-smith-rowe/
9,PHIL YOUR BOOTS,Mateta wants bumper new Palace contract and could scupper Chelsea plans,https://www.thesun.co.uk/sport/29667330/jean-philippe-mateta-crystal-palace-contract-chelsea-transfer/
10,KICKING OFF,"Ben Chilwell in row over fence, firepit & basketball court at £5m mansion",https://www.thesun.co.uk/sport/29582235/chelsea-ben-chilwell-neighbour-row-privacy-fence-mansion/
11,MUNI TALKS,Man Utd transfer blow as Munich refuse to budge on De Ligt & Mazraoui valuation,https://www.thesun.co.uk/sport/29668007/man-utd-bayern-munich-de-ligt-mazraoui/
12,DREAM LAND,The Sun Dream Team's fantasy game now available to play ahead of new season!,https://www.thesun.co.uk/sport/football/dream-team/29134579/premier-league-fantasy-football-game-new-season-rules/
13,YOU'RE WELCOME,talkSPORT BET bonus: Sign up and get £30 in free bets to spend on football,https://www.thesun.co.uk/sport/27779571/talksport-bet-welcome-bonus-register-free-offer-sign-up/
14,TOTELY GREAT,Get £50 in welcome bonuses when you stake £10 on football with Tote,https://www.thesun.co.uk/sport/28173646/tote-welcome-bonus-free-bets-offer-promo-code/
15,MEGA MGM,Welcome bonus: Get £60 in free bets when you stake £10 on football with BetMGM,https://www.thesun.co.uk/sport/28311103/betmgm-free-bets-football-bonus-offer/
16,WAR CRY,Banned Legia Warsaw fans turn Welsh caravan park into raucous 'away end',https://www.thesun.co.uk/sport/29667636/legia-warsaw-conference-league-wales-caravan-park/
17,GUNNER GET HIM,Arsenal 'to raid Man City for Julian Alvarez' as Arteta plots £80m transfer,https://www.thesun.co.uk/sport/29662595/arsenal-man-city-julian-alvarez-arteta-transfer/
18,MASE RUNNER,Greenwood won't play first game in England for 3 years in bizarre friendly,https://www.thesun.co.uk/sport/29663122/mason-greenwood-not-play-england-homecoming-friendly/
19,NEW BEGINNINGS,Fans love Japanese supporter as he reveals reason for choosing Newcastle,https://www.thesun.co.uk/sport/29666135/japanese-newcastle-fan-alan-pardew-headbutt/
20,HAPPY CAMPER,"Win a VW Campervan + £2,000 cash or £40,000 cash from just 38p with our code",https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
21,PORR BLIMEY,Porro has Tottenham fans drooling with worldie but slip to 2-1 loss to Bayern,https://www.thesun.co.uk/sport/29663526/pedro-porro-tottenham-bayern-munich-seoul/
22,MAKE A MARC,Howe gives Newcastle-Guehi transfer update after shock loss to Japanese minnows,https://www.thesun.co.uk/sport/29665211/eddie-howe-newcastle-transfer-update-marc-guehi/
23,JUR KIDDING,European giants forced to clarify Jurgen Klopp is not working for them,https://www.thesun.co.uk/sport/29645065/jurgen-klopp-doppelganger-liverpool-shakhtar-donestk/
24,HEY JUDE,Jude Bellingham spotted at League Two stadium for bizarre friendly,https://www.thesun.co.uk/sport/29664336/jude-bellingham-sunderland-marseille-greenwood/
25,SOL PURPOSE,"Liverpool targeting Olympics 2024 ace, 19, in £13m move to replace Robertson",https://www.thesun.co.uk/sport/29667235/liverpool-transfer-julio-soler-jayden-danns-plymouth/
26,PIN UP GIRL,Lucy Pinder goes public with Premier League boss as couple share loved-up pic,https://www.thesun.co.uk/sport/29635473/lucy-pinder-premier-league-russell-martin-couple/
27,A NEW HOPE,Meet Man Utd's next young prodigy set to follow Kobbie Mainoo into first team,https://www.thesun.co.uk/sport/29662070/man-utd-kobbie-mainoo-transfer-harry-amass/
28,TOP OF THE CLASS,Man Utd flop Wout Weghorst trying to open holistic school in Holland,https://www.thesun.co.uk/sport/29661581/man-utd-wout-weghorst-holistic-school/
29,OLYMPIC BRAWL,France vs Argentina clash ends in huge brawl at Olympics after racism storm,https://www.thesun.co.uk/sport/29657587/france-argentina-olympic-football-brawl-enzo-fernandez/
30,WELCOME OFFER,Get a £50 welcome bonus when you join Sun Vegas and spend £10,https://www.thesun.co.uk/sun-bingo/23376227/welcome-offer-sun-vegas-bonus/
31,CASE CLOSED,Best online casinos as rated by the real expert for UK players right NOW,https://www.thesun.co.uk/betting/20803800/best-online-casinos-uk/
32,SPIN TO WIN,Join Sun Vegas and get a £30 live casino bonus plus 50 golden chips,https://www.thesun.co.uk/sun-bingo/25321231/welcome-offer-sun-live-roulette-table-bonus/
33,IT'S PAY DAY!,Highest payout online casinos AND the fastest paying sites in UK revealed,https://www.thesun.co.uk/betting/22917511/highest-payout-casinos-uk/
34,MAN UTD NEWS,"Wan-Bissaka 'AGREES United EXIT', Fulham bid for McTominay, Rashford BOOST",https://www.thesun.co.uk/sport/29510311/man-utd-transfer-news-live-mctominay-rashford-injury-wan-bissaka-updates/
35,GUNNERS LATEST,"Gunners 'eye £80m Alvarez move', Merino deal 'close', Smith Rowe LEAVES",https://www.thesun.co.uk/sport/27840895/arsenal-transfer-news-live-merino-alvarez-updates/
36,'INCREDIBLE',Prem cult hero Dwight Gayle on trial at League One side with ex-Man Utd player,https://www.thesun.co.uk/sport/29656425/premier-league-stars-stockport-efl-transfer-trial-gayle-norwood/
37,EXIT ROWE,Emile Smith Rowe leaves Arsenal after 14 years to join Fulham,https://www.thesun.co.uk/sport/29644422/emile-smith-rowe-leaves-arsenal-join-fulham-transfer-gunners/
38,NO GLOVE LOST,Reason why David de Gea is still unemployed 428 days after last game revealed,https://www.thesun.co.uk/sport/29659660/why-david-de-gea-unemployed-man-utd/
39,NO DEAL,Man Utd's joint bid to sign De Ligt and Mazraoui rejected by Bayern Munich,https://www.thesun.co.uk/sport/29643925/man-utds-transfer-de-ligt-mazraoui-rejected-bayern-munich/
40,EXIT IMMINENT,Wan-Bissaka 'AGREES Man Utd exit after reaching personal terms with West Ham',https://www.thesun.co.uk/sport/29626433/man-utd-transfer-news-wan-bissaka-leave-west-ham/
41,BEN AND GONE,Man Utd 'consider shock Chilwell signing' as Enzo Maresca opens door to sale,https://www.thesun.co.uk/sport/29600590/man-utd-ben-chilwell-transfer-chelsea-enzo-maresca/
42,RAY OF SUNSHINE,Arsenal star David Raya shows off new look after undergoing hair transplant,https://www.thesun.co.uk/sport/29556918/arsenal-david-raya-hair-transplant-new-look/
43,NISTEL IT DOWN,Man Utd legend fears 'something not right' about van Nistelrooy's return,https://www.thesun.co.uk/sport/29642773/man-utd-yorke-van-nistelrooy-old-trafford-roy-keane/
44,OFF THE MARC,Cucurella sings own song in ad but unimpressed fans say 'I physically cringed',https://www.thesun.co.uk/sport/29654797/marc-cucurella-estrella-damm-advert-song-chant/
45,GIVE HIM A KAL,Phillips handed career lifeline after horror loan spell & position change,https://www.thesun.co.uk/sport/29635063/kalvin-phillips-galatasaray-man-city-transfer/
46,WHAT CAN EDU,Prem owner wants to poach Arsenal director Edu for intriguing new role,https://www.thesun.co.uk/sport/29658170/edu-poached-arsenal-marinakis-nottingham-forest/
47,WEDDING KELLS,Chloe Kelly looks sensational in wedding gown as England hero ties the knot,https://www.thesun.co.uk/sport/29654946/chloe-kelly-wedding-pictures-husband-lionesses/
48,JOR THE ONE,Meet Chelsea's stunning new Wag Noemie Romee who loves travelling the world,https://www.thesun.co.uk/sport/29638113/chelsea-filip-jorgensen-wag-noemie-romee/
49,JUDE NOT TO,Bellingham's model girlfriend stuns in bikini as England hero enjoys holiday,https://www.thesun.co.uk/sport/29626010/jude-bellingham-girlfriend-laura-celia-pictures/
50,NEIL CUSTIS,"LVG's Man Utd were miles off title… 10 years on, Ten Hag's just as far away",https://www.thesun.co.uk/sport/29633482/man-utd-van-gaal-erik-ten-hag/
51,ANDY DILLON,Chelsea race row not Boehly's fault but club are stuck with Enzo Fernandez,https://www.thesun.co.uk/sport/29328566/chelsea-enzo-fernandez-todd-boehly-racism/
52,DAVE KIDD,Howe hint he could succeed Southgate shows England job more attractive than ever,https://www.thesun.co.uk/sport/29397524/eddie-howe-england-gareth-southgate-fa/
